day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-10-02,-0.3579059038255821,0.3103411976841872,0.12078716628647909,0.44925940554832716,2.0
2025-10-06,-0.5915692294700606,0.343532636690891,0.3720493176590578,0.8814816140505775,3.0
2025-10-10,-1.289659032473447,1.0,-0.7095157280692749,1.0,1.0
2025-10-11,0.15102050369248565,0.5389784056156149,0.5595880561484458,0.23763734804321487,4.0
2025-10-12,-0.022816268941345676,0.7852732809102226,-0.15987223770691306,1.1966368343470517,4.0
2025-10-13,0.36635638006023336,1.1952057947317103,0.272055009729318,1.2270699196405597,10.0
2025-10-14,-0.14685433152498434,1.188131093739042,-0.050950725049010236,0.7320420132144654,7.0
2025-10-15,0.01419872188172916,1.0048666112336757,0.5314542043369423,1.055194522070682,4.0
2025-10-16,-0.06933336799220394,0.6648666481723923,-0.01516786565740739,0.6599099213423384,6.0
2025-10-17,0.3964197867546833,0.15884259693142405,0.1286717064735562,0.9742669044413531,3.0
2025-10-19,-0.18181818181818182,1.0,0.6545454545454545,1.0,1.0
2025-10-21,-0.13574517930299815,0.6446143329706272,0.023945519818234295,1.0080739049567051,5.0
2025-10-22,-0.6013014197114686,0.34907718406813726,-0.046476224586386526,0.8388623878964582,3.0
2025-10-23,-0.42304222028174127,0.7428427305760469,-0.5359494567782833,1.1779086791650413,3.0
2025-10-24,1.2011820115555232,0.8573779648210664,0.22812560357288006,0.14145415683249016,3.0
2025-10-25,0.03931175570767857,0.5538534266219868,0.2588017497032404,0.610218671108992,10.0
2025-10-26,-0.05347088847020694,0.02455420500138844,0.05047929188487499,0.8949907684190345,2.0
2025-10-27,0.32855339059327315,0.5353553390593265,0.5035533905932748,0.28786796564403716,2.0
2025-10-28,-0.01213163932255587,1.2792182140726407,-0.11705037060983411,0.811036861438776,4.0
2025-10-29,0.11871979199594411,0.6430846346135393,-0.7145179653713006,0.7177048436114334,7.0
2025-10-30,0.01179715188881178,1.2214193318518611,-0.1269856759453063,0.675318760057222,8.0
2025-10-31,-0.10720622454955901,0.638542452209373,-0.011296056579319714,0.5525099258508248,13.0
2025-11-01,-0.2701676480409402,0.8297347359937061,0.08605608344249221,1.0653205842907598,15.0
2025-11-02,-0.3116420539788369,0.6394894059593401,-0.059565193321307636,0.6742759295672272,13.0
2025-11-03,0.24637468378413577,0.7501112789134253,0.09806331081689494,0.7505435804998615,12.0
2025-11-04,-0.5799119276450302,0.4725193695277964,0.3635601637137498,0.9288195683029397,2.0
2025-11-05,0.398585202103009,0.4962317271881058,0.1613584265463624,0.6172630507166509,5.0
2025-11-06,0.2620771655352215,0.708761833894049,0.2943391201215582,0.9100088970561108,7.0
2025-11-07,0.20249974152711217,0.7584685195290303,0.6754771523641708,0.384550705083353,4.0
2025-11-08,1.154240102038019,0.9987005266981369,0.2387878549642858,0.7472470059784153,5.0
2025-11-09,0.4009612856873961,0.7427244422913931,0.00035557040474358076,0.5777538454195753,3.0
2025-11-10,-0.07519034739236607,0.7255560548999369,0.06460124364000729,0.7648779175619702,11.0
2025-11-11,-0.043276119495710086,0.9526260309241084,0.27393954031019846,0.9133220002868628,4.0
2025-11-12,-0.06422356250050874,0.629707782728995,0.001916981722714589,0.8955632065948195,29.0
