keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'landlide climate change',0.02498198825319763,0.8858287987871973,0.2934385746167584,1.0147589574887488,24.0
'landslide charity',0.12500956760659634,0.9974128507567055,-0.21053557269797601,1.0478661395446298,25.0
'landslide death',-0.04409529306034723,1.0288160290400024,0.08994161378711855,0.9352358438022342,66.0
'landslide protection',-0.12546014177033507,0.9442063998215179,0.03925896870820025,0.8594806025590811,43.0
'landslide rain',-0.279485656376387,0.7879835557708091,-0.1367562072467675,0.7519070751823788,62.0
'landslide road',-0.09869672407099543,0.706846677135927,-0.07487617555623695,0.8678385950011764,75.0
'landslide salvage',-0.2539502866882791,0.27840598730130645,-1.2640822686140125,0.12571676557604872,2.0
'landslide',0.03848500131954472,0.9186965874997155,0.04355839797165364,0.9114453618513596,817.0
'rock fall',0.11082668456609546,0.8572403326848801,0.19448484348015027,0.9611880493771464,70.0
'rockfall',0.10584067380745248,0.7947374446969452,0.060562808500715666,0.9569248661478266,24.0
veryUnusualAndNeverUsedKeyword,-0.5714568384326574,0.5701471221444538,0.06045375778352757,0.8936669065194743,4.0
